,SMILES,PC1,PC2,PC3,PC4,PC5,PC6,PC1_normalized,PC2_normalized,Cluster_PC1_PC2,cluster
0,C[N]1N=NC(=N1)N=NC2=CC=CC=C2,-1.292014070945832,-2.4539405215902943,-2.50537589030676,0.47792476081789176,0.8325287072909827,0.0726381115488377,-0.11481248492542558,-0.23601508656852785,0,0
1,C[N]1C=NC(=N1)N=NC2=CC=CC=C2,-1.7151383267848352,-1.7776365085027435,-1.9448944841867315,0.2463189509806785,0.6232597939498309,0.037738319021080775,-0.15241265379164698,-0.17096952055291004,0,0
2,C[N]1C=CC(=N1)N=NC2=CC=CC=C2,-2.138262582623842,-1.101332495415181,-1.3844130780667014,0.014713141143470694,0.4139908806086774,0.002838526493320931,-0.19001282265786873,-0.10592395453729112,0,0
3,C[N]1C=C(C)C(=N1)N=NC2=CC=CC=C2,-1.9801345868353164,-0.7870005539340209,-1.1829078435881994,0.10121341079397857,0.37087662552871276,-0.003916666561763541,-0.1759610653736255,-0.07569213769934592,0,0
4,C[N]1C=C(C=N1)N=NC2=CC=CC=C2,-2.1382625826238413,-1.1013324954151826,-1.3844130780667028,0.014713141143471088,0.4139908806086786,0.002838526493320167,-0.19001282265786867,-0.10592395453729127,0,0
5,C[N]1N=C(C)C(=C1C)N=NC2=CC=CC=C2,-1.8220065910467906,-0.4726686124528612,-0.9814026091096972,0.1877136804444868,0.3277623704487487,-0.010671859616848167,-0.16190930808938223,-0.04546032086140078,0,0
6,C[N]1N=CC=C1N=NC2=CC=CC=C2,-2.1382625826238417,-1.1013324954151817,-1.3844130780667017,0.014713141143470648,0.4139908806086778,0.0028385264933208326,-0.1900128226578687,-0.10592395453729117,0,0
7,C[N]1N=CC(=C1N=NC2=CC=CC=C2)C,-1.980134586835316,-0.787000553934021,-1.182907843588199,0.10121341079397879,0.37087662552871276,-0.003916666561764048,-0.17596106537362546,-0.07569213769934593,0,0
8,CC(N(C)C(C)=C1)=C1/N=N/C2=CC=CC=C2,-2.2451308468857936,0.20363540063469632,-0.42092120298966734,-0.04389212939272219,0.11849345710759518,-0.045571652144607594,-0.19950947695560364,0.019585245154217674,0,0
9,CC(N(C)C(C)=C1C)=C1/N=N/C2=CC=CC=C2,-2.0870028510972682,0.517967342115857,-0.21941596851116496,0.04260814025778596,0.07537920202763033,-0.0523268451996923,-0.18545771967136043,0.04981706199216291,0,0
10,CN1C(/N=N/C2=CC=CC=C2)=C(C)C=C1C,-2.2451308468857936,0.20363540063469632,-0.42092120298966734,-0.04389212939272219,0.11849345710759518,-0.045571652144607594,-0.19950947695560364,0.019585245154217674,0,0
11,CN1C(/N=N/C2=CC=CC=C2)=CC=C1,-2.5613868384628455,-0.4250284823276247,-0.8239316719466723,-0.21689266869373836,0.20472196726752429,-0.032061266034438624,-0.22761299152409017,-0.04087838852167276,0,0
12,CN1C(/N=N/C2=CC=CC=C2)=NC=C1,-2.1382625826238417,-1.1013324954151817,-1.3844130780667017,0.014713141143470648,0.4139908806086778,0.0028385264933208326,-0.1900128226578687,-0.10592395453729117,0,0
13,CN(C=N1)C=C1/N=N/C2=CC=CC=C2,-2.1382625826238417,-1.1013324954151817,-1.3844130780667017,0.014713141143470648,0.4139908806086778,0.0028385264933208326,-0.1900128226578687,-0.10592395453729117,0,0
14,CN1C(/N=N/C2=CC=CC=C2)=CN=C1,-2.1382625826238417,-1.1013324954151817,-1.3844130780667017,0.014713141143470648,0.4139908806086778,0.0028385264933208326,-0.1900128226578687,-0.10592395453729117,0,0
15,NC(C=C1)=CC=C1N=NC2=NNC=C2,-1.115337160092152,-3.3856147814183917,0.4210112189816416,0.035080851762606134,0.016684783809574007,0.13419741834249954,-0.0991124119771416,-0.32562165166347024,0,0
16,COC(C=C1)=CC=C1N=NC2=NNC=C2,-1.21261642163211,-1.9691894296942543,-0.40383321867168737,-0.32839120633112984,0.1689238263160653,0.08238484926070967,-0.10775695695561593,-0.1893926970234508,0,0
17,CC(C=C1)=CC=C1N=NC2=NNC=C2,-1.9744974322381703,-1.6921758279321877,0.009928615101583528,-0.1766282321346988,-0.05198218131849845,0.15001463265432555,-0.17546012986389584,-0.1627500833882335,0,0
18,C1(/N=N/C2=CC=NN2)=CC=NN1,-1.408543198976371,-4.21742580962818,-0.10114093812494691,-0.15116766544490196,0.2030729430913164,0.29927143564909253,-0.12516763434387193,-0.40562357106792374,0,0
19,[H]C(C=C1)=CC=C1N=NC2=NNC=C2,-2.1326254280266963,-2.0065077694133477,-0.19157661937691858,-0.2631285017852068,-0.008867926238534317,0.1567698257094097,-0.1895118871481391,-0.19298190022617867,0,0
20,BrC(C=C1)=CC=C1N=NC2=NNC=C2,-1.423936327728238,-1.0105823840345365,0.467039711777682,0.0493662852895679,0.26263938620157473,0.47025617069621506,-0.12653551678611583,-0.09719579050676032,0,0
21,FC1=CC=CC=C1N=NC2=NNC=C2,-1.9755943081361242,-1.8057174044753417,-0.05741741746533561,-0.19750737386310563,0.07367937456996954,0.2427914207988755,-0.17555760174932716,-0.17367028490949663,0,0
22,O=C(O)C(C=C1)=CC=C1N=NC2=NNC=C2,-0.4590590707655677,-3.217467231736109,0.45564053454413184,-0.2222132223420951,-0.06380366284879646,0.4285650676642506,-0.040793450959530075,-0.30944955696704646,0,0
23,O=C(C1=CC=C(/N=N/C2=NNC=C2)C=C1)OCC,-0.0454257326780671,-1.825320389326873,-0.5321561358447161,-0.2710966646376344,0.2001815811036072,0.15645306284451654,-0.004036675269727499,-0.17555566074726853,0,0
24,CC(C(C=C1)=CC=C1N=NC2=NNC=C2)=O,-0.9592622487477322,-1.8354073590706554,-0.303173604667345,-0.1997329198309009,0.003864287108484835,0.21811598517559358,-0.08524309831490705,-0.17652580530307468,0,0
25,[O-][N+](C(C=C1)=CC=C1N=NC2=NNC=C2)=O,-0.2466385405454026,-2.3910980995944775,-0.7694441070143966,0.2039287458329257,-0.21502861452091931,0.34805641590234937,-0.021917086164292405,-0.22997102823173213,0,0
